source,target,weight
ACGL,AIZ,0.7152179638625931
ACGL,AJG,0.43878042758450364
ACGL,ALL,0.6942282793363007
ACGL,AMT,0.4942149451967632
ACGL,ANET,-0.40902212400995314
ACGL,AON,0.499612477443955
ACGL,ATO,0.4881203466793924
ACGL,AVB,0.5118381712475424
ACGL,AVGO,-0.5793700257628457
ACGL,AWK,0.45127753347786503
ACGL,BR,0.4703341246345738
ACGL,BRK-B,0.7183083392257764
ACGL,BRO,0.6629314771969479
ACGL,CAH,0.42394560148825505
ACGL,CB,0.771212478115064
ACGL,CCI,0.4713437745840705
ACGL,CEG,-0.47010895022196647
ACGL,CHD,0.5549599994169471
ACGL,CINF,0.680089251114125
ACGL,CL,0.4933046612290868
ACGL,CLX,0.4102719940495211
ACGL,CMS,0.4556622820336013
ACGL,COR,0.40530541094822914
ACGL,CPB,0.4116098084363145
ACGL,CPT,0.48756083746678
ACGL,CTAS,0.5365413322106617
ACGL,D,0.4055842298072017
ACGL,DOC,0.5865219190067987
ACGL,DTE,0.4387432319604844
ACGL,DUK,0.4095988721445483
ACGL,DVA,0.40798365239377105
ACGL,ED,0.5483101886031154
ACGL,EG,0.6839272499266329
ACGL,EQR,0.5030631372667417
ACGL,ES,0.4109771405555201
ACGL,ESS,0.4173963986154668
ACGL,ETN,-0.5034302870215696
ACGL,EXC,0.4310529097808187
ACGL,FAST,0.4405675784872788
ACGL,FDS,0.5339973234336519
ACGL,FIS,0.46390828995393174
ACGL,FRT,0.532215808614467
ACGL,GIS,0.44054337149266914
ACGL,GL,0.48575726413302034
ACGL,GPC,0.4072959441557124
ACGL,GWW,0.4454725873128888
ACGL,HCA,0.49025326277712633
ACGL,HIG,0.7958433601288714
ACGL,ICE,0.4388155011967985
ACGL,IFF,0.4050310596343039
ACGL,INVH,0.5061711408072215
ACGL,JKHY,0.4162603395480241
ACGL,JNJ,0.45221083527665995
ACGL,KHC,0.44970692909293225
ACGL,KIM,0.4296428040018261
ACGL,KMB,0.4258357790553055
ACGL,L,0.8200581276765377
ACGL,LEN,0.4105334838996227
ACGL,LHX,0.4272706397658695
ACGL,LNT,0.4846241231694145
ACGL,MA,0.581709825955413
ACGL,MAA,0.5688174189238445
ACGL,MCO,0.5087221226467658
ACGL,MET,0.5609030626234126
ACGL,MKC,0.5697186798979873
ACGL,MMC,0.6642762542734892
ACGL,MSCI,0.42768481412268194
ACGL,NDAQ,0.4431506635820855
ACGL,NDSN,0.49149282949276846
ACGL,NTRS,0.43398606804161005
ACGL,NVDA,-0.5799205506770762
ACGL,NVR,0.4114080936640654
ACGL,O,0.4847330015760861
ACGL,ORLY,0.45352265984633533
ACGL,PAYX,0.5232765621887616
ACGL,PEP,0.5431290912800242
ACGL,PFG,0.5019218870015815
ACGL,PG,0.494436947008868
ACGL,PGR,0.6031771616900775
ACGL,PNC,0.45115086809918614
ACGL,PNW,0.42626264382323104
ACGL,PPL,0.4437094222696612
ACGL,PRU,0.5551288741471877
ACGL,PSA,0.4191967549681382
ACGL,REG,0.4176114716253264
ACGL,RF,0.45402208137100053
ACGL,ROL,0.651175463090406
ACGL,RSG,0.41253108755161705
ACGL,SBAC,0.5201544330842071
ACGL,SHW,0.461421636408342
ACGL,SJM,0.4316938434654446
ACGL,SO,0.4608464800586667
ACGL,STT,0.44165167721128556
ACGL,SYY,0.4764152677959931
ACGL,TJX,0.40560063819663883
ACGL,TRV,0.6990621009295113
ACGL,TSN,0.4142082871057501
ACGL,TXT,0.49851584429669227
ACGL,UDR,0.5841654497616048
ACGL,UHS,0.4886413842704638
ACGL,V,0.45987048837546723
ACGL,VICI,0.4706726102765205
ACGL,VLTO,0.40018856420598153
ACGL,VRSK,0.5327410715167104
ACGL,VTR,0.41208699716445285
ACGL,WEC,0.4846640121363981
ACGL,WM,0.4290347002563066
ACGL,WRB,0.4648983245352916
ACGL,WTW,0.532921686212608
ACGL,WY,0.45778410914345924
ACGL,XEL,0.48492521700408603
ACN,AKAM,0.429157229240633
ACN,CDW,0.4212277069772587
ACN,CTSH,0.4134918171938297
ACN,EPAM,0.4300402297425714
ACN,HCA,0.48162037953061226
ACN,IBM,0.4184536498390373
ACN,IT,0.6280251133190227
ACN,NVDA,-0.4002047560087919
ACN,ODFL,0.4293630117506573
ADI,AXON,-0.434600740382782
ADI,CDNS,-0.53493543746522
ADI,CRL,0.4196758414101199
ADI,CSGP,0.41873083409130657
ADI,GRMN,0.5335218360819975
ADI,MCHP,0.7460169343920494
ADI,NXPI,0.6785987788508366
ADI,ON,0.47391480990641055
ADI,TXN,0.7477094633666753
ADM,AEP,0.42560884820509687
ADM,ALLE,0.5634436459786445
ADM,AOS,0.5247361071452545
ADM,AVY,0.41933627434745024
ADM,AWK,0.5084203252852346
ADM,BALL,0.6215090022318914
ADM,BAX,0.49663495157130394
ADM,BBY,0.4617933208767136
ADM,BF-B,0.43203097489773795
ADM,BG,0.6965123045993638
ADM,BIIB,0.5320977133251882
ADM,CAG,0.6220405719969753
ADM,CHRW,0.43713390267437363
ADM,CI,0.45055374059585523
ADM,CL,0.5836014841730066
ADM,CLX,0.43345111918693463
ADM,CNC,0.45530649510745125
ADM,CPB,0.5667194860369406
ADM,D,0.45257062628619743
ADM,DE,0.4515531116643702
ADM,DG,0.46140910467380003
ADM,DLR,-0.41029475356039635
ADM,ED,0.47562420804392475
ADM,EL,0.5440014102404639
ADM,EQIX,-0.42159789273021175
ADM,ES,0.4177952870912573
ADM,EXPD,0.4126432765626725
ADM,FAST,0.5882756302751996
ADM,GIS,0.6231255656377641
ADM,GPC,0.4829557459074678
ADM,GWW,0.4241506690198602
ADM,HOLX,0.42927493399238364
ADM,HON,0.46232250182416196
ADM,HRL,0.5555651232545802
ADM,HSIC,0.44037687805135894
ADM,HSY,0.4552816090827623
ADM,ITW,0.6059980001174785
ADM,J,0.4281340265734068
ADM,JKHY,0.5394868397247947
ADM,JNJ,0.4106668856810372
ADM,KHC,0.6209506904336846
ADM,KMB,0.48723729115280373
ADM,KO,0.46596451198466055
ADM,KVUE,0.5492284946628252
ADM,LHX,0.5671942940379866
ADM,LMT,0.42774109106841746
ADM,LOW,0.40197832443324694
ADM,LW,0.41529166847573834
ADM,MAS,0.5435030021607626
ADM,MCD,0.4792036537466911
ADM,MDLZ,0.43576273250561653
ADM,MHK,0.42187195543841055
ADM,MNST,0.4186967440520817
ADM,MO,0.44956785862600895
ADM,MRK,0.43342416892777025
ADM,NDSN,0.5615267486747004
ADM,NRG,-0.44669250183584563
ADM,NSC,0.44829005376008646
ADM,OTIS,0.5084814663131064
ADM,PCAR,0.5937793744699223
ADM,PEP,0.6375135238293248
ADM,PFE,0.46502631632583236
ADM,POOL,0.5994638237707287
ADM,RVTY,0.44143502210635294
ADM,SJM,0.55234880348679
ADM,SNA,0.44502468600493356
ADM,SO,0.47904652281304705
ADM,SWK,0.5188217821296021
ADM,SYY,0.5837487009003492
ADM,T,0.416470691950695
ADM,TMUS,0.426384368325616
ADM,TSCO,0.41471627241710074
ADM,TSN,0.4702878282757068
ADM,TXT,0.5745216392204794
ADM,VRSK,0.40170468852975083
ADM,VZ,0.4966274928581322
ADM,XOM,0.40607403409027426
ADM,ZBH,0.5459073973791112
ADP,AEE,0.6302804484788969
ADP,AEP,0.563523722103875
ADP,AFL,0.46452312802809853
