ticker1,ticker2,Correlation,n,pval,Source_Cluster,Target_Cluster,Edge_Type
AMP,HII,0.5344167767876534,64,6.44121995031719e-06,3,3,Internal
AMP,HON,0.530123609302269,64,7.881479566803208e-06,3,1,External
AMP,HPE,0.46077283468323127,64,0.00014459218767226908,3,3,Internal
AMP,HST,0.4161388478297423,64,0.0006935475442354962,3,4,External
AMP,HWM,0.47598789423227056,64,8.049999071309524e-05,3,4,External
AMP,IBM,0.44493861060204787,64,0.00025850940553645205,3,1,External
AMP,IDXX,-0.4110346904301767,64,0.0008187561192965867,3,0,External
AMP,INTU,-0.4081397553724197,64,0.0008985342699646856,3,0,External
AMP,IP,0.4917071373134171,64,4.267089162789732e-05,3,1,External
AMP,IR,0.4902722476953162,64,4.527482059050745e-05,3,1,External
AMP,IT,0.42002036091654843,64,0.0006102397521895252,3,4,External
AMP,IVZ,0.6821455758978525,64,7.461393273076394e-10,3,3,Internal
AMP,JCI,0.517919382264217,64,1.3782078859657695e-05,3,1,External
AMP,JPM,0.7852811060251706,64,2.554918063876483e-14,3,3,Internal
AMP,KEY,0.7727051622631624,64,1.1866958204156222e-13,3,3,Internal
AMP,KMI,0.4108181525720262,64,0.0008244938477209813,3,3,Internal
AMP,L,0.7904906389868093,64,1.3119087566076741e-14,3,3,Internal
AMP,LMT,0.4447325937671128,64,0.0002604228235152521,3,1,External
AMP,LUV,0.5107575164296709,64,1.8942960226981776e-05,3,4,External
AMP,LW,0.423638520858946,64,0.0005408719072909811,3,1,External
AMP,LYB,0.45036795689686737,64,0.0002124893325066377,3,1,External
AMP,LYV,0.4044350494929604,64,0.0010108509952470384,3,4,External
AMP,MAR,0.43519664902739813,64,0.0003645223494095617,3,4,External
AMP,MET,0.7976206819571374,64,5.107369709485461e-15,3,3,Internal
AMP,MHK,0.4306049813090067,64,0.00042710428223511184,3,1,External
AMP,MLM,0.5698149005654943,64,1.092158915096882e-06,3,1,External
AMP,MMM,0.4693923983361272,64,0.00010411686545748044,3,1,External
AMP,MPC,0.5735932096861694,64,8.925816290389971e-07,3,3,Internal
AMP,MS,0.7557864767675571,64,8.080260075485338e-13,3,3,Internal
AMP,MTB,0.7428065231217131,64,3.178426098060218e-12,3,3,Internal
AMP,NFLX,-0.4170937380807144,64,0.0006721490048684846,3,0,External
AMP,NOW,-0.422323712201294,64,0.0005652047974335787,3,0,External
AMP,NTRS,0.6879939295117106,64,4.670113844439268e-10,3,3,Internal
AMP,NUE,0.5194609037025466,64,1.2857987281197597e-05,3,1,External
AMP,NVDA,-0.5294197271626255,64,8.144467120284953e-06,3,0,External
AMP,OKE,0.4047808792254318,64,0.0009998544973485238,3,3,Internal
AMP,OMC,0.44775919888700716,64,0.00023357338903213788,3,4,External
AMP,OXY,0.43209195724438904,64,0.00040584170469647234,3,3,Internal
AMP,PAYX,0.45023204931853855,64,0.00021354319719365768,3,4,External
AMP,PCAR,0.5092209970985768,64,2.026189125380374e-05,3,1,External
AMP,PFG,0.7637520168331116,64,3.340552845917878e-13,3,3,Internal
AMP,PH,0.4173053043248771,64,0.0006674896731265322,3,1,External
AMP,PKG,0.49583381957095174,64,3.59338624191589e-05,3,1,External
AMP,PNC,0.7470158822181294,64,2.0571240797424086e-12,3,3,Internal
AMP,PPG,0.4238282531814269,64,0.0005374402429208549,3,1,External
AMP,PRU,0.8294674306594905,64,4.535749598568805e-17,3,3,Internal
AMP,PSX,0.6437056810054614,64,1.2657515729640316e-08,3,3,Internal
AMP,PWR,0.40681361856948306,64,0.0009373728227680699,3,1,External
AMP,PYPL,-0.5021872368226181,64,2.746079155474086e-05,3,0,External
AMP,RCL,0.42879237702389933,64,0.00045439228479380586,3,4,External
AMP,RF,0.7619734387904741,64,4.080960918735902e-13,3,3,Internal
AMP,RJF,0.8141935099750224,64,4.892546207693729e-16,3,3,Internal
AMP,RL,0.46981167296877624,64,0.00010244394843775537,3,4,External
AMP,RTX,0.6695348490943366,64,1.9774256367948847e-09,3,3,Internal
AMP,SBAC,-0.4313012255728747,64,0.00041702542040187473,3,5,External
AMP,SCHW,0.6619047005722462,64,3.4868745557746643e-09,3,3,Internal
AMP,SLB,0.598445519861468,64,2.2174738366904053e-07,3,3,Internal
AMP,SNA,0.47669289148511834,64,7.829212360040083e-05,3,1,External
AMP,SNPS,-0.5234698784110893,64,1.0717504786390058e-05,3,0,External
AMP,SPG,0.4136241847439387,64,0.0007528849052973969,3,4,External
AMP,STT,0.6080684406014141,64,1.2522083294747446e-07,3,3,Internal
AMP,SWK,0.512270451459308,64,1.772254959286563e-05,3,1,External
AMP,SYF,0.7721095923554511,64,1.2731183813537628e-13,3,3,Internal
AMP,SYY,0.5115029879181849,64,1.83321926816214e-05,3,4,External
AMP,TDY,0.539743333229768,64,4.995172819061449e-06,3,3,Internal
AMP,TFC,0.7937348274516189,64,8.579760193360903e-15,3,3,Internal
AMP,TJX,0.4047283349805236,64,0.0010015182828492762,3,4,External
AMP,TPR,0.6196834025088528,64,6.122471082231053e-08,3,4,External
AMP,TRGP,0.45724892526683614,64,0.00016495683709454568,3,3,Internal
AMP,TROW,0.5994298032804392,64,2.0933726732040602e-07,3,3,Internal
AMP,TRV,0.6439970443236608,64,1.2407288708911176e-08,3,3,Internal
AMP,TSN,0.4428054616740951,64,0.0002789586064973876,3,4,External
AMP,TTWO,-0.526659423071573,64,9.256723315290922e-06,3,0,External
AMP,TXT,0.5518563328634614,64,2.756204308472725e-06,3,3,Internal
AMP,UAL,0.571350065509678,64,1.0064898471145215e-06,3,4,External
AMP,UHS,0.5743466172775737,64,8.571197195164892e-07,3,4,External
AMP,URI,0.5197430569616837,64,1.2695215610201452e-05,3,1,External
AMP,USB,0.7748523114485382,64,9.194029668068589e-14,3,3,Internal
AMP,VLO,0.5899621149373071,64,3.6141364317085204e-07,3,3,Internal
AMP,VMC,0.40046086910861534,64,0.0011452876392551244,3,1,External
AMP,VTRS,0.5106259824379074,64,1.905266772887244e-05,3,3,Internal
AMP,WAB,0.5133405632562242,64,1.690388186055147e-05,3,1,External
AMP,WBD,0.43265187800995336,64,0.00039808839700887754,3,4,External
AMP,WFC,0.7056782476359367,64,1.0571408574770376e-10,3,3,Internal
AMP,WRB,0.574250557389522,64,8.615664156390055e-07,3,3,Internal
AMP,XOM,0.5826207695309332,64,5.454537891847724e-07,3,3,Internal
AMT,ARE,0.4052068852648977,64,0.0009864570741427094,5,5,Internal
AMT,AWK,0.4305223615665615,64,0.00042831489097860384,5,5,Internal
AMT,CCI,0.7794423607132658,64,5.277727967174448e-14,5,5,Internal
AMT,DLR,0.5436378870362572,64,4.136349629749354e-06,5,5,Internal
AMT,EQIX,0.5459025409037201,64,3.7025432517238252e-06,5,5,Internal
AMT,ES,0.5008289052590026,64,2.9098965036064398e-05,5,5,Internal
AMT,EXR,0.45622220518043133,64,0.000171366882485966,5,5,Internal
AMT,MET,-0.4043877887333406,64,0.0010123622127265208,5,3,External
AMT,NEE,0.4248412955390826,64,0.0005194499051610367,5,5,Internal
AMT,PLD,0.5028567491189367,64,2.6685188069333723e-05,5,5,Internal
AMT,PSA,0.443485971889861,64,0.00027227986906951476,5,5,Internal
AMT,SBAC,0.8314496939632302,64,3.2743906794724586e-17,5,5,Internal
AMT,VRSK,0.5348644152671879,64,6.306100823001837e-06,5,5,Internal
AMT,WEC,0.6000765765468932,64,2.0154194003033247e-07,5,5,Internal
AMT,XEL,0.4786262245279367,64,7.252059379849988e-05,5,5,Internal
AMZN,APH,-0.45615185588583845,64,0.00017181434147041602,0,1,External
AMZN,AVY,-0.4480674576560638,64,0.0002309859970105271,0,1,External
AMZN,AXP,-0.5084047659895097,64,2.0996719497634225e-05,0,3,External
AMZN,BEN,-0.4482269302113368,64,0.00022965776954649456,0,3,External
AMZN,BG,-0.6246322747960329,64,4.4734467097854344e-08,0,1,External
AMZN,BLDR,-0.4426966282525284,64,0.0002800405065145616,0,2,External
AMZN,BLK,-0.4111478279809695,64,0.000815772635937051,0,2,External
AMZN,BXP,-0.448261552213367,64,0.00022937033195347088,0,5,External
AMZN,CAT,-0.4133202335931325,64,0.0007603600286289026,0,1,External
AMZN,CB,-0.40763946451068805,64,0.0009130121172595538,0,3,External
AMZN,CDW,-0.42642112219007167,64,0.0004924840491004587,0,1,External
AMZN,CF,-0.42584159060828525,64,0.0005022245678925794,0,1,External
AMZN,CFG,-0.5428659837586892,64,4.294750765857221e-06,0,3,External
AMZN,CI,-0.5210310935214332,64,1.1976211735001365e-05,0,3,External
AMZN,CMI,-0.438990359118456,64,0.00031925303411456125,0,1,External
AMZN,CNP,-0.4152378442065217,64,0.000714302565561062,0,5,External
AMZN,COF,-0.5450108156384105,64,3.868017970407566e-06,0,3,External
AMZN,COR,-0.5158248823349224,64,1.5136825973610314e-05,0,2,External
AMZN,CTAS,-0.4062421521928369,64,0.0009545719235947963,0,3,External
AMZN,CVS,-0.5594713177709015,64,1.873752738303343e-06,0,3,External
